user_score;publisher;title;genre;score;release
;;! That Bastard Is Trying To Steal Our Gold !;;;May 11, 2014
;;"""Glow Ball"" - The billiard puzzle game";;;Jul 20, 2015
;;"""You have a choice. Make it.""";;;Jul 23, 2014
;;'dillos;;;Oct 22, 2012
6.5;;//N.P.P.D. RUSH//- The milk of Ultraviolet;;;Feb 13, 2014
;;//SNOWFLAKE TATTOO//;;;Mar 27, 2015
2.3;Activision;007 Legends;Action,Shooter,First-Person,Modern,Shooter,Modern,Arcade;26;Nov 1, 2012
6.2;Electronic Arts;007: NightFire;Action,Shooter,First-Person,Modern,Shooter,Modern,Arcade;59;Nov 28, 2002
6.5;Activision;007: Quantum of Solace;Action,General,Shooter,First-Person,Modern,Shooter,Modern,Arcade;70;Nov 4, 2008
;;0RBITALIS;;73;May 28, 2015
2.6;;1... 2... 3... KICK IT! Drop That Beat Like an Ugly Baby;;;Apr 1, 2011
;;10 Days to Save the World: The Adventures of Diana Salinger;;;Sep 28, 2009
;;10 Days Under the Sea;;;Jun 29, 2008
;;10 Min Space Strategy;;;Jul 20, 2011
8.6;;10 Second Ninja;;72;Mar 5, 2014
;;10 Talismans;;;Sep 7, 2006
;;10 Years After;;;Jan 30, 2015
7.3;;10,000,000;;67;Jan 15, 2013
;;100% Hidden Objects;;;Apr 14, 2013
7.7;;100% Orange Juice;;;May 16, 2014
;;100,000 Games;;;Dec 7, 2009
7.4;;1000 Amps;;;Feb 22, 2012
;;1001 Jigsaw Earth Chronicles;;;May 20, 2014
;;1001 Jigsaw Earth Chronicles 2;;;Aug 21, 2014
;;1001 Nights: The Adventures of Sindbad;;;Jan 27, 2010
5.8;;1001 Spikes;;80;Jun 3, 2014
;Empire Interactive;101 Airborne: The Airborne Invasion of Normandy;Strategy,General;;Sep 30, 1998
;;101 Bally Slots;;;Sep 1, 2004
;;101 Bunny Pets;;;Feb 29, 2008
;;101 Pony Pets;;;Jun 13, 2008
;;10Six;;;Feb 27, 2000
8.4;;12 Labours of Hercules;;;Oct 30, 2013
;;12 Labours of Hercules II: The Cretan Bull;;;Jul 17, 2014
;;12 Labours of Hercules III: Girl Power;;;Dec 31, 2014
;Take-Two Interactive;12 O'Clock High: Bombing the Reich;Simulation,Flight,WWII;;Nov 30, 1999
;;123 Slaughter Me Street;;;Sep 25, 2015
7.3;;140;;80;Oct 16, 2013
5.6;;15 Days;;63;Jun 25, 2010
;;15 Defense. Underwater Battle;;;Jan 10, 2015
7.4;Electronic Arts;1503 A.D. - The New World;Strategy,Real-Time,Historic,General,Historic;74;Mar 23, 2003
;;16 Bit Arena;;;Mar 24, 2015
;;16 Bit Runner Full Throttle;;;Feb 1, 2015
;;16bit Trader;;;Jun 4, 2015
8.3;Aspyr;1701 A.D.;Strategy,Real-Time,Historic,General,Historic;79;Nov 6, 2006
;Aspyr;1701 A.D. Gold Edition;Strategy,Real-Time,Historic,General;;Jul 24, 2008
6.9;ValuSoft;18 Wheels of Steel: American Long Haul;Simulation,General,General;;Dec 3, 2007
;;18 Wheels of Steel: Big City Rigs;;;Apr 1, 2009
;;18 Wheels of Steel: Convoy;;;Sep 1, 2005
8.1;;18 Wheels of Steel: Extreme Trucker;;;Oct 2, 2009
